close,conversionSymbol,conversionType,high,low,open,time (unix epoch),volumefrom,volumeto,ingestion_date (unix epoch)
0.4212,"",direct,0.45,0.4085,0.417,1296086400,27708.2,12086.9,1680537367
0.446,"",direct,0.446,0.4212,0.4212,1296172800,5324.5,2301.77,1680537367
0.439,"",direct,0.445,0.43,0.446,1296259200,1448.38,643.63,1680537367
0.4799,"",direct,0.48,0.445,0.439,1296345600,10383.59,4775.81,1680537367
0.52,"",direct,0.95,0.47,0.4799,1296432000,63516.08,32708.4,1680537367
0.7,"",direct,0.85,0.5201,0.52,1296518400,31562.12,23264.18,1680537367
0.716,"",direct,0.76,0.69,0.7,1296604800,5627.48,4126.02,1680537367
0.69,"",direct,0.75,0.6501,0.716,1296691200,8524.5,6064.12,1680537367
0.811,"",direct,0.88,0.67,0.69,1296777600,42222.19,33965.74,1680537367
0.92,"",direct,0.92,0.8115,0.811,1296864000,15786.81,13634.2,1680537367
0.8997,"",direct,0.92,0.83,0.92,1296950400,8744.11,7608.77,1680537367
0.89,"",direct,0.9,0.83,0.8997,1297036800,2264.28,1949.54,1680537367
0.918,"",direct,0.918,0.8617,0.89,1297123200,7021.29,6306.77,1680537367
1.09,"",direct,1.09,0.82,0.918,1297209600,49632.5,47455.01,1680537367
0.9803,"",direct,1.1,0.8,1.09,1297296000,26559.64,25568.81,1680537367
1.07,"",direct,1.09,0.9264,0.9803,1297382400,13299.18,13213.54,1680537367
1.08,"",direct,1.08,0.9906,1.07,1297468800,4118.92,4353.79,1680537367
1.05,"",direct,1.08,1.02,1.08,1297555200,3240.64,3398.3,1680537367
1.07,"",direct,1.08,1.033,1.05,1297641600,7096.55,7532.41,1680537367
1.05,"",direct,1.085,1.035,1.07,1297728000,8616.58,9085.5,1680537367
1.045,"",direct,1.05,1.02,1.05,1297814400,7192.38,7465.03,1680537367
1.04,"",direct,1.05,1.02,1.045,1297900800,4009.84,4184.96,1680537367
0.8989,"",direct,1.04,0.7801,1.04,1297987200,36948.16,32719.75,1680537367
0.949,"",direct,0.98,0.8376,0.8989,1298073600,3798.71,3454.72,1680537367
0.85,"",direct,0.949,0.83,0.949,1298160000,9974.05,8503.38,1680537367
0.8345,"",direct,0.8796,0.8313,0.85,1298246400,1700.12,1435.86,1680537367
0.8702,"",direct,0.95,0.8313,0.8345,1298332800,12095.26,10650.29,1680537367
0.9,"",direct,0.945,0.8681,0.8702,1298419200,6718.87,6057.77,1680537367
0.9974,"",direct,1.0,0.9,0.9,1298505600,13418.69,12708.12,1680537367
0.9111,"",direct,0.9998,0.9111,0.9974,1298592000,4461.06,4276.3,1680537367
0.958,"",direct,0.97,0.9106,0.9111,1298678400,4744.41,4452.63,1680537367
0.89,"",direct,0.958,0.89,0.958,1298764800,23268.75,21576.82,1680537367
0.86,"",direct,0.92,0.845,0.89,1298851200,4651.67,4108.6,1680537367
0.9202,"",direct,0.97,0.8502,0.86,1298937600,22569.78,21413.43,1680537367
0.9399,"",direct,0.94,0.9102,0.9202,1299024000,2741.87,2533.96,1680537367
0.9391,"",direct,0.9399,0.91,0.9399,1299110400,2746.67,2520.58,1680537367
0.901,"",direct,0.9391,0.9001,0.9391,1299196800,2711.89,2469.56,1680537367
0.9103,"",direct,0.9189,0.8111,0.901,1299283200,12570.59,11115.04,1680537367
0.8999,"",direct,0.9098,0.81,0.9103,1299369600,12626.49,10775.11,1680537367
0.885,"",direct,0.909,0.846,0.8999,1299456000,15271.27,13527.3,1680537367
0.87,"",direct,0.885,0.85,0.885,1299542400,4527.85,3931.42,1680537367
0.8645,"",direct,0.87,0.85,0.87,1299628800,4546.05,3881.22,1680537367
0.9329,"",direct,0.9329,0.8497,0.8645,1299715200,8869.01,7895.07,1680537367
0.88,"",direct,0.925,0.8601,0.9329,1299801600,3725.51,3301.73,1680537367
0.918,"",direct,0.9197,0.88,0.88,1299888000,4822.83,4319.6,1680537367
0.8925,"",direct,0.918,0.8898,0.918,1299974400,660.31,595.42,1680537367
0.8949,"",direct,0.9,0.88,0.8925,1300060800,5269.24,4676.62,1680537367
0.87,"",direct,0.8949,0.87,0.8949,1300147200,2732.16,2405.41,1680537367
0.86,"",direct,0.88,0.836,0.87,1300233600,7929.62,6761.32,1680537367
0.8254,"",direct,0.88,0.81,0.86,1300320000,7159.78,6042.77,1680537367
0.8165,"",direct,0.8506,0.71,0.8254,1300406400,14226.22,10971.32,1680537367
0.765,"",direct,0.797,0.7313,0.8165,1300492800,9875.04,7457.83,1680537367
0.7411,"",direct,0.79,0.7402,0.765,1300579200,5815.32,4502.62,1680537367
0.759,"",direct,0.7724,0.7405,0.7411,1300665600,3695.96,2780.45,1680537367
0.809,"",direct,0.81,0.7405,0.759,1300752000,12147.72,9499.24,1680537367
0.8497,"",direct,0.85,0.78,0.809,1300838400,13262.26,11029.25,1680537367
0.8669,"",direct,0.9,0.8266,0.8497,1300924800,14009.37,12259.77,1680537367
0.8838,"",direct,0.89,0.861,0.8669,1301011200,4819.42,4225.53,1680537367
0.8552,"",direct,0.905,0.841,0.8838,1301097600,11756.42,10250.98,1680537367
0.82,"",direct,0.8721,0.8152,0.8552,1301184000,5337.15,4439.07,1680537367
0.799,"",direct,0.85,0.76,0.82,1301270400,12565.15,10141.7,1680537367
0.7925,"",direct,0.7997,0.7648,0.799,1301356800,4215.02,3312.3,1680537367
0.7897,"",direct,0.795,0.766,0.7925,1301443200,3218.22,2532.13,1680537367
0.7846,"",direct,0.801,0.768,0.7897,1301529600,6875.08,5429.16,1680537367
0.7741,"",direct,0.797,0.7741,0.7846,1301616000,3186.77,2483.69,1680537367
0.782,"",direct,0.7998,0.7741,0.7741,1301702400,2493.59,1965.23,1680537367
0.779,"",direct,0.7949,0.777,0.782,1301788800,3931.39,3074.76,1680537367
0.68,"",direct,0.785,0.5619,0.779,1301875200,31155.46,21652.69,1680537367
0.71,"",direct,0.7478,0.58,0.68,1301961600,9730.3,6522.71,1680537367
0.74,"",direct,0.75,0.6902,0.71,1302048000,8703.95,6264.04,1680537367
0.7538,"",direct,0.7849,0.7205,0.74,1302134400,10832.99,8178.14,1680537367
0.75,"",direct,0.799,0.7309,0.7538,1302220800,18207.3,13854.66,1680537367
0.73,"",direct,0.7676,0.7205,0.75,1302307200,12119.4,8940.96,1680537367
0.7369,"",direct,0.7589,0.71,0.73,1302393600,5348.98,3946.44,1680537367
0.77,"",direct,0.799,0.7103,0.7369,1302480000,14645.93,11255.96,1680537367
0.86,"",direct,0.899,0.7703,0.77,1302566400,48417.6,41333.11,1680537367
0.9225,"",direct,1.0,0.86,0.86,1302652800,43397.56,40467.74,1680537367
1.0,"",direct,1.0,0.91,0.9225,1302739200,31111.88,29643.61,1680537367
0.9899,"",direct,1.09,0.911,1.0,1302825600,50304.61,50488.94,1680537367
1.05,"",direct,1.095,0.9541,0.9899,1302912000,28869.3,30097.18,1680537367
1.112,"",direct,1.14,1.026,1.05,1302998400,24225.7,26085.25,1680537367
1.162,"",direct,1.2,1.11,1.112,1303084800,27478.69,31552.55,1680537367
1.198,"",direct,1.198,1.144,1.162,1303171200,12556.73,14782.06,1680537367
1.142,"",direct,1.198,1.13,1.198,1303257600,21344.95,24691.86,1680537367
1.21,"",direct,1.21,1.14,1.142,1303344000,39295.69,46345.35,1680537367
1.409,"",direct,1.41,1.189,1.21,1303430400,39415.39,50929.92,1680537367
1.7,"",direct,1.95,1.32,1.409,1303516800,66620.36,103242.84,1680537367
1.63,"",direct,1.95,1.6,1.7,1303603200,21541.69,36076.01,1680537367
1.559,"",direct,1.701,1.521,1.63,1303689600,13471.6,21226.89,1680537367
1.795,"",direct,1.795,1.53,1.559,1303776000,24054.31,40211.17,1680537367
1.9,"",direct,1.95,1.72,1.795,1303862400,33055.26,62403.35,1680537367
2.211,"",direct,2.65,1.66,1.9,1303948800,100238.23,203392.46,1680537367
2.88,"",direct,2.95,2.21,2.211,1304035200,57577.32,148954.47,1680537367
3.5,"",direct,4.15,2.75,2.88,1304121600,65427.8,214977.24,1680537367
3.033,"",direct,3.87,2.5,3.5,1304208000,45772.07,143521.98,1680537367
3.2,"",direct,3.495,3.029,3.033,1304294400,18333.83,59421.72,1680537367
3.41,"",direct,3.49,3.11,3.2,1304380800,16919.18,56187.48,1680537367
3.406,"",direct,3.58,3.25,3.41,1304467200,17278.29,59434.11,1680537367
3.333,"",direct,3.45,3.333,3.406,1304553600,15350.34,52331.39,1680537367
3.45,"",direct,3.61,3.29,3.333,1304640000,23014.7,80063.98,1680537367
3.641,"",direct,3.7,3.425,3.45,1304726400,17833.29,64359.68,1680537367
3.866,"",direct,3.937,3.63,3.641,1304812800,21132.51,79620.81,1680537367
3.8,"",direct,3.9,3.691,3.866,1304899200,11520.93,43805.92,1680537367
5.81,"",direct,5.99,3.81,3.8,1304985600,56217.32,266466.71,1680537367
5.5,"",direct,6.065,4.6,5.81,1305072000,52569.15,281496.86,1680537367
6.3,"",direct,6.49,5.22,5.5,1305158400,31722.46,184839.99,1680537367
8.198,"",direct,8.45,6.32,6.3,1305244800,64003.37,478840.49,1680537367
7.198,"",direct,8.9,5.83,8.198,1305331200,55390.45,435571.02,1680537367
6.987,"",direct,7.78,6.2,7.198,1305417600,18294.87,123255.5,1680537367
8.034,"",direct,8.5,6.75,6.987,1305504000,44141.41,343050.47,1680537367
7.19,"",direct,8.389,6.98,8.034,1305590400,35345.46,265868.95,1680537367
6.88,"",direct,7.5,6.6,7.19,1305676800,25403.44,181331.16,1680537367
6.805,"",direct,7.34,6.607,6.88,1305763200,24436.41,170134.8,1680537367
5.59,"",direct,7.1,5.577,6.805,1305849600,44460.44,278992.34,1680537367
6.12,"",direct,6.52,5.577,5.59,1305936000,31111.9,185640.17,1680537367
6.69,"",direct,6.759,5.99,6.12,1306022400,23872.15,154432.52,1680537367
7.15,"",direct,7.45,6.69,6.69,1306108800,35279.88,250601.3,1680537367
7.42,"",direct,7.51,6.96,7.15,1306195200,29282.48,211827.28,1680537367
8.4,"",direct,9.33,7.216,7.42,1306281600,64049.94,510905.18,1680537367
8.798,"",direct,8.987,8.01,8.4,1306368000,28644.99,244820.48,1680537367
8.5,"",direct,8.83,8.5,8.798,1306454400,14431.84,125149.05,1680537367
8.3,"",direct,8.7,8.11,8.5,1306540800,12247.72,103463.69,1680537367
8.43,"",direct,8.49,8.102,8.3,1306627200,7487.54,62138.87,1680537367
8.8,"",direct,9.0,8.25,8.43,1306713600,17680.15,154258.85,1680537367
8.741,"",direct,9.5,8.1,8.8,1306800000,45794.42,406882.27,1680537367
9.57,"",direct,9.699,8.3,8.741,1306886400,43479.96,400564.35,1680537367
10.6,"",direct,10.89,9.5,9.57,1306972800,41047.27,415112.72,1680537367
