time,open,close,high,low,volumefrom,volumeto
1310256000,14.38,14.9,15.68,14.35,45284.42,682903.16
1310342400,14.9,14.21,15.2,13.8,49160.01,706457.52
1310428800,14.21,14.01,14.64,13.9,26356.51,372986.55
1310515200,14.01,13.95,14.15,13.91,10338.15,145032.07
1310601600,13.95,13.99,14.07,13.7,17661.16,245982.11
1310688000,13.99,13.81,14.09,13.5,24819.54,344982.1
1310774400,13.81,13.72,13.81,13.5,17264.49,235142.97
1310860800,13.72,13.16,13.75,13.02,34375.47,458510.19
1310947200,13.16,13.48,13.92,12.51,75896.31,988903.24
1311033600,13.48,13.85,14.7,13.44,67575.61,948485.72
1311120000,13.85,13.69,14.0,13.4,23177.9,317332.3
1311206400,13.69,13.61,13.78,13.4,25018.37,341665.52
1311292800,13.61,13.7,13.81,13.45,15165.62,207044.15
1311379200,13.7,13.68,13.76,13.51,22455.6,306380.16
1311465600,13.68,13.98,14.1,13.6,26623.26,369041.82
1311552000,13.98,14.05,14.72,13.76,31577.96,448277.2
1311638400,14.05,13.88,14.05,13.77,16793.86,233585.08
1311724800,13.88,13.94,14.13,13.85,11508.66,160645.54
1311811200,13.94,13.49,13.94,13.31,32738.27,445690.58
1311897600,13.49,13.5,13.7,13.33,7257.51,98020.73
1311984000,13.5,13.53,13.63,13.45,6104.38,82590.44
1312070400,13.53,13.35,14.9,12.83,45723.44,618135.5
1312156800,13.35,13.09,13.55,12.85,21748.09,286373.02
1312243200,13.09,12.05,13.1,11.5,57242.69,709463.16
1312329600,12.05,9.26,12.16,8.7,90287.33,943628.17
1312416000,9.26,10.75,11.15,9.27,50094.1,529876.35
1312502400,10.75,9.8,10.99,9.5,30765.69,315866.93
1312588800,9.8,6.55,9.95,5.742,102411.73,801213.08
1312675200,6.55,7.9,9.47,6.01,89830.96,693796.98
1312761600,7.9,7.8,8.16,7.055,34042.22,263570.19
1312848000,7.8,9.99,12.1,7.671,114472.78,1112123.77
1312934400,9.99,9.98,10.4,9.5,24254.45,242598.48
1313020800,9.98,9.462,10.5,8.451,58114.56,550577.88
1313107200,9.462,9.461,9.8,8.91,41592.12,387476.18
1313193600,9.461,10.13,10.25,9.28,29759.76,291543.08
1313280000,10.13,10.8,11.24,9.62,44125.5,468353.91
1313366400,10.8,11.15,11.89,10.72,38155.54,431203.74
1313452800,11.15,10.96,11.32,10.81,15325.44,169357.89
1313539200,10.96,10.95,11.1,10.66,22898.69,249104.68
1313625600,10.95,10.83,11.05,10.81,8210.38,89515.28
1313712000,10.83,11.65,11.81,10.83,33721.05,384289.87
1313798400,11.65,11.45,11.69,11.4,9915.0,113880.29
1313884800,11.45,11.31,11.51,11.31,8720.35,99220.98
1313971200,11.31,10.9,11.5,10.51,36996.14,407895.13
1314057600,10.9,10.94,11.3,10.81,12779.51,141019.11
1314144000,10.94,10.85,11.08,10.83,7815.83,85516.17
1314230400,10.85,9.657,10.89,9.1,55485.39,555232.04
1314316800,9.657,8.179,9.889,7.642,83004.37,718309.63
1314403200,8.179,8.59,9.11,8.121,21998.79,189777.37
1314489600,8.59,9.07,9.481,8.448,24155.28,216706.8
1314576000,9.07,8.969,9.27,8.65,21651.28,193411.57
1314662400,8.969,8.791,9.0,8.55,11773.82,103338.65
1314748800,8.791,8.2,8.79,8.01,19648.24,164091.75
1314835200,8.2,8.21,8.36,8.1,11903.53,97874.33
1314921600,8.21,8.64,8.714,8.23,16814.55,141975.28
1315008000,8.64,8.48,8.69,8.363,6944.99,59247.47
1315094400,8.48,8.178,8.49,7.85,19673.49,160817.86
1315180800,8.178,7.611,8.191,7.25,30798.75,234672.8
1315267200,7.611,6.863,7.657,6.122,82496.05,555289.16
1315353600,6.863,7.186,7.599,6.53,49642.1,348836.44
1315440000,7.186,6.53,7.198,6.512,31886.33,216888.79
1315526400,6.53,5.03,6.577,4.18,217433.29,1154613.99
1315612800,5.03,4.774,5.49,4.63,44484.53,223562.81
1315699200,4.774,5.864,7.4,4.6,143792.58,873010.64
1315785600,5.864,6.078,6.582,5.412,63864.04,385739.55
1315872000,6.078,5.8,6.085,5.7,23759.28,138683.87
